id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173826146,7508393,18,ERDNGTN,D,2020-12-22 17:18:30,2020-12-22 17:18:00
173826145,7508393,17,ERDNGTN,A,2020-12-22 17:17:30,2020-12-22 17:18:00
173826144,7508393,16,CHSRD,D,2020-12-22 17:16:00,2020-12-22 17:16:00
173826143,7508393,15,CHSRD,A,2020-12-22 17:15:30,2020-12-22 17:16:00
173826142,7508393,14,WYGN,D,2020-12-22 17:14:00,2020-12-22 17:14:00
173826141,7508393,13,WYGN,A,2020-12-22 17:13:30,2020-12-22 17:14:00
173826140,7508393,12,SUTCO,D,2020-12-22 17:11:30,2020-12-22 17:11:00
173826139,7508393,11,SUTCO,A,2020-12-22 17:10:30,2020-12-22 17:11:00
173826138,7508393,10,FOUROKS,D,2020-12-22 17:08:00,2020-12-22 17:08:00
173826137,7508393,9,FOUROKS,A,2020-12-22 17:07:30,2020-12-22 17:08:00
173826136,7508393,8,BTLRSLA,D,2020-12-22 17:05:30,2020-12-22 17:05:00
173826135,7508393,7,BTLRSLA,A,2020-12-22 17:04:30,2020-12-22 17:05:00
173826134,7508393,6,BLKST,D,2020-12-22 17:03:00,2020-12-22 17:03:00
173826133,7508393,5,BLKST,A,2020-12-22 17:02:00,2020-12-22 17:02:00
173826132,7508393,4,SHNS,D,2020-12-22 16:59:00,2020-12-22 16:59:00
173826131,7508393,3,SHNS,A,2020-12-22 16:58:30,2020-12-22 16:59:00
173826130,7508393,2,LCHC,D,2020-12-22 16:54:00,2020-12-22 16:54:00
173826129,7508393,1,LCHC,A,2020-12-22 16:53:00,2020-12-22 16:53:00
173826128,7508393,0,LCHTTVH,D,2020-12-22 16:50:00,2020-12-22 16:50:00
173827930,7508465,41,LCHTTVH,A,2020-12-22 12:36:00,2020-12-22 12:36:00
173827929,7508465,40,LCHC,D,2020-12-22 12:33:30,2020-12-22 12:33:00
173827928,7508465,39,LCHC,A,2020-12-22 12:32:30,2020-12-22 12:33:00
173827927,7508465,38,SHNS,D,2020-12-22 12:26:30,2020-12-22 12:26:00
173827926,7508465,37,SHNS,A,2020-12-22 12:26:00,2020-12-22 12:26:00
173827925,7508465,36,BLKST,D,2020-12-22 12:22:30,2020-12-22 12:22:00
173827924,7508465,35,BLKST,A,2020-12-22 12:22:00,2020-12-22 12:22:00
173827923,7508465,34,BTLRSLA,D,2020-12-22 12:20:30,2020-12-22 12:20:00
173827922,7508465,33,BTLRSLA,A,2020-12-22 12:19:30,2020-12-22 12:20:00
173827921,7508465,32,FOUROKS,D,2020-12-22 12:17:30,2020-12-22 12:17:00
173827920,7508465,31,FOUROKS,A,2020-12-22 12:17:00,2020-12-22 12:17:00
173827919,7508465,30,SUTCO,D,2020-12-22 12:14:30,2020-12-22 12:14:00
173827918,7508465,29,SUTCO,A,2020-12-22 12:13:30,2020-12-22 12:14:00
173827917,7508465,28,WYGN,D,2020-12-22 12:11:30,2020-12-22 12:11:00
173827916,7508465,27,WYGN,A,2020-12-22 12:11:00,2020-12-22 12:11:00
173827915,7508465,26,CHSRD,D,2020-12-22 12:09:30,2020-12-22 12:09:00
173827914,7508465,25,CHSRD,A,2020-12-22 12:09:00,2020-12-22 12:09:00
